time,open,high,low,close,volume
2021-01-15 18:03:00,823.35,823.35,823.35,823.35,576
2021-01-15 18:02:00,823.45,823.5,823.45,823.5,676
2021-01-15 18:01:00,823.45,823.45,823.45,823.45,1409
2021-01-15 18:00:00,822.79,823.34,822.79,823.34,5469
2021-01-15 17:59:00,822.1,822.8,822.1,822.8,1182
2021-01-15 17:57:00,822.52,822.52,822.05,822.05,1559
2021-01-15 17:56:00,822.99,822.99,822.99,822.99,1128
2021-01-15 17:53:00,823.0,823.02,822.96,822.96,1877
2021-01-15 17:52:00,823.38,823.38,823.0,823.03,3104
2021-01-15 17:51:00,823.5101,823.62,823.5,823.5,5231
2021-01-15 17:50:00,823.5,823.63,823.5,823.63,644
2021-01-15 17:48:00,824.0,824.0,823.5,823.5,9627
2021-01-15 17:47:00,824.0,824.0,824.0,824.0,519
2021-01-15 17:46:00,824.1,824.28,824.1,824.28,761
2021-01-15 17:45:00,824.15,824.15,824.02,824.1,2576
2021-01-15 17:44:00,824.01,824.13,824.0,824.13,4234
2021-01-15 17:43:00,824.0,824.03,824.0,824.03,1594
2021-01-15 17:42:00,824.15,824.15,824.03,824.03,1339
2021-01-15 17:41:00,824.22,824.22,824.21,824.21,752
2021-01-15 17:40:00,824.5,824.5,824.5,824.5,650
2021-01-15 17:39:00,824.1401,824.1501,824.1401,824.1501,804
2021-01-15 17:37:00,824.3,824.3,824.3,824.3,625
2021-01-15 17:35:00,824.05,824.22,824.05,824.22,1888
2021-01-15 17:34:00,824.5,824.5,824.49,824.49,1000
2021-01-15 17:33:00,824.5,824.5,824.5,824.5,1516
2021-01-15 17:32:00,824.61,824.77,824.52,824.77,1556
2021-01-15 17:31:00,824.8401,824.8401,824.8401,824.8401,886
2021-01-15 17:30:00,824.8998,824.9,824.8998,824.9,1879
2021-01-15 17:29:00,824.96,824.98,824.85,824.85,2030
2021-01-15 17:27:00,825.0,825.0,824.96,824.96,2431
2021-01-15 17:26:00,825.03,825.03,825.0,825.0,721
2021-01-15 17:25:00,825.0,825.02,825.0,825.02,755
2021-01-15 17:24:00,825.08,825.08,825.08,825.08,613
2021-01-15 17:23:00,825.09,825.1498,825.0,825.0,2433
2021-01-15 17:21:00,824.95,824.95,824.95,824.95,623
2021-01-15 17:20:00,825.0,825.0,825.0,825.0,593
2021-01-15 17:19:00,824.94,824.96,824.9399,824.96,2597
2021-01-15 17:18:00,824.86,824.93,824.82,824.89,2825
2021-01-15 17:17:00,824.87,824.9,824.8,824.86,1727
2021-01-15 17:16:00,824.91,824.91,824.89,824.89,930
2021-01-15 17:15:00,824.8501,824.8501,824.8501,824.8501,859
2021-01-15 17:14:00,824.96,824.96,824.85,824.85,2020
2021-01-15 17:13:00,824.8,824.85,824.8,824.85,2495
2021-01-15 17:12:00,824.8,824.8,824.75,824.75,1180
2021-01-15 17:11:00,824.87,824.87,824.8,824.83,832
2021-01-15 17:10:00,824.8999,824.8999,824.75,824.75,2842
2021-01-15 17:08:00,824.7801,824.7801,824.7801,824.7801,421
2021-01-15 17:07:00,825.01,825.01,824.77,825.01,1286
2021-01-15 17:06:00,824.9,825.0,824.9,825.0,2133
2021-01-15 17:05:00,824.85,824.88,824.85,824.88,1015
2021-01-15 17:04:00,824.9998,824.9998,824.9998,824.9998,549
2021-01-15 17:03:00,825.01,825.01,825.01,825.01,802
2021-01-15 17:01:00,825.0,825.01,825.0,825.01,1272
2021-01-15 16:59:00,825.1,825.1,824.91,825.0,1079
2021-01-15 16:58:00,825.0,825.01,825.0,825.01,1491
2021-01-15 16:57:00,824.98,824.98,824.76,824.91,3892
2021-01-15 16:56:00,825.06,825.06,825.0,825.0,1247
2021-01-15 16:55:00,824.95,825.05,824.95,825.05,912
2021-01-15 16:54:00,825.05,825.17,825.05,825.17,1450
2021-01-15 16:53:00,824.9,825.0,824.9,825.0,872
2021-01-15 16:51:00,825.1,825.1,825.1,825.1,630
2021-01-15 16:50:00,825.25,825.25,824.92,824.92,2191
2021-01-15 16:49:00,824.95,825.1,824.95,825.1,1175
2021-01-15 16:48:00,825.0,825.0,824.81,824.83,4265
2021-01-15 16:47:00,825.14,825.2,824.97,825.05,4991
2021-01-15 16:45:00,825.15,825.15,824.95,824.95,2358
2021-01-15 16:44:00,825.19,826.16,825.19,825.25,4296
