open,high,low,close,volume,diff,Volatility
852.98,853.5,852.51,852.85,14284,0.9900000000000091,0.8400000000000091
854.0,854.0,852.95,853.0,27671,1.0499999999999545,0.9519999999999982
854.0,854.0,853.48,854.0,17925,0.5199999999999818,0.9960000000000037
853.81,854.5,852.8,854.5,16239,1.7000000000000455,1.1920000000000073
855.68,855.68,853.7,853.82,19344,1.9799999999999045,1.2479999999999791
855.65,855.7,855.65,855.7,1810,0.05000000000006821,1.059999999999991
855.76,855.79,855.7,855.79,2088,0.08999999999991815,0.8679999999999837
855.8,855.9,855.5,855.83,3400,0.39999999999997726,0.8439999999999828
855.5,855.8,855.5,855.5,2443,0.2999999999999545,0.5639999999999645
855.8,855.8,855.73,855.73,2145,0.06999999999993634,0.1819999999999709
855.45,855.77,855.4,855.73,3732,0.37000000000000455,0.24599999999995817
855.3,855.5,855.11,855.5,4593,0.38999999999998636,0.3059999999999718
855.3,855.5,855.1,855.11,3442,0.39999999999997726,0.3059999999999718
855.12,855.13,855.1,855.1,2447,0.029999999999972715,0.25199999999997547
855.01,855.3,855.0,855.3,7096,0.2999999999999545,0.29799999999997906
855.7,855.7,855.1,855.1,3781,0.6000000000000227,0.3439999999999827
856.2,856.25,855.5,855.5,6871,0.75,0.41599999999998544
855.71,856.0,855.5,856.0,15565,0.5,0.43599999999999
856.34,856.34,855.96,855.96,3872,0.37999999999999545,0.5059999999999946
856.48,856.54,856.37,856.54,4646,0.16999999999995907,0.47999999999999543
855.09,856.63,854.71,856.63,12072,1.919999999999959,0.7439999999999827
855.51,855.51,854.71,855.25,22799,0.7999999999999545,0.7539999999999736
856.3,856.3,855.54,855.54,4031,0.7599999999999909,0.8059999999999719
856.7,856.7,856.12,856.2,7928,0.5800000000000409,0.8459999999999809
856.31,856.7,856.01,856.7,5049,0.6900000000000546,0.95
842.93,844.05,842.93,843.5,6161,1.1200000000000045,0.7900000000000091
845.0,845.55,843.0,843.0,32712,2.5499999999999545,1.140000000000009
845.59,845.99,845.0,845.89,6861,0.9900000000000091,1.1860000000000128
844.66,845.5,844.66,845.5,6659,0.8400000000000318,1.2380000000000109
845.0,845.01,844.26,845.01,13105,0.75,1.25
843.95,844.89,843.95,844.89,5953,0.9399999999999409,1.2139999999999873
843.71,843.95,843.5,843.89,6706,0.4500000000000455,0.7940000000000055
843.48,843.71,843.44,843.51,5674,0.2699999999999818,0.65
843.0,843.51,843.0,843.51,7617,0.5099999999999909,0.5839999999999919
842.21,843.0,842.15,843.0,7209,0.8500000000000227,0.6039999999999963
842.15,842.15,842.0,842.15,3891,0.14999999999997726,0.4460000000000036
842.12,842.12,842.0,842.0,4257,0.12000000000000455,0.37999999999999545
842.0,842.42,842.0,842.12,3106,0.4199999999999591,0.4099999999999909
842.3,842.3,842.0,842.0,8727,0.2999999999999545,0.3679999999999836
843.0,843.0,842.47,842.47,7015,0.5299999999999727,0.3039999999999736
842.76,842.8,842.76,842.8,1505,0.03999999999996362,0.2819999999999709
843.0,843.0,842.75,842.75,1699,0.25,0.30799999999996996
842.72,842.72,842.72,842.72,1646,0.0,0.22399999999997816
842.95,843.0,842.95,843.0,3657,0.049999999999954525,0.17399999999997817
842.99,843.0,842.71,842.71,5012,0.2899999999999636,0.12599999999997635
843.0,843.0,842.66,843.0,3954,0.34000000000003183,0.18599999999999
842.63,843.0,842.55,843.0,7056,0.4500000000000455,0.2259999999999991
842.5,843.0,842.5,842.5999,3218,0.5,0.32599999999999907
842.98,842.98,842.5,842.5,3759,0.4800000000000182,0.4120000000000118
842.6,843.41,842.6,843.0,6502,0.8099999999999454,0.5160000000000082
843.06,843.06,842.53,842.6,4189,0.5299999999999727,0.5539999999999964
842.49,842.98,842.09,842.94,6893,0.8899999999999864,0.6419999999999846
842.0,842.09,842.0,842.09,4889,0.09000000000003183,0.559999999999991
842.66,842.93,842.0,842.0,15631,0.92999999999995,0.6499999999999773
843.63,843.63,843.0,843.0,8550,0.6299999999999955,0.6139999999999872
